year,month,month_name,district,division,water_area_km2,total_area_km2,water_fraction,water_area_calibrated_km2,season
2015,6,June,Manikganj,Dhaka,130.99,1531.92,0.085509,64.8,Monsoon (Jun-Sep)
2015,6,June,Maulvibazar,Sylhet,389.12,2819.05,0.138032,192.6,Monsoon (Jun-Sep)
2015,6,June,Meherpur,Khulna,205.99,732.79,0.281105,102.0,Monsoon (Jun-Sep)
2015,6,June,Munshiganj,Dhaka,177.95,1036.66,0.171655,88.1,Monsoon (Jun-Sep)
2015,6,June,Mymensingh,Dhaka,1313.55,4784.19,0.274561,650.1,Monsoon (Jun-Sep)
2015,6,June,Naogaon,Rajshahi,945.42,3824.58,0.247196,467.9,Monsoon (Jun-Sep)
2015,6,June,Narail,Khulna,77.4,1072.86,0.072141,38.3,Monsoon (Jun-Sep)
2015,6,June,Narayanganj,Dhaka,103.72,832.16,0.124637,51.3,Monsoon (Jun-Sep)
2015,6,June,Narsingdi,Dhaka,217.69,1281.34,0.169889,107.7,Monsoon (Jun-Sep)
2015,6,June,Natore,Rajshahi,136.07,2101.7,0.064745,67.3,Monsoon (Jun-Sep)
2015,6,June,Nawabganj,Rajshahi,111.18,1804.38,0.061614,55.0,Monsoon (Jun-Sep)
2015,6,June,Netrakona,Dhaka,1186.23,3089.39,0.383968,587.1,Monsoon (Jun-Sep)
2015,6,June,Nilphamari,Rangpur,343.83,1836.84,0.187185,170.2,Monsoon (Jun-Sep)
2015,6,June,Noakhali,Chittagong,331.52,2642.03,0.125479,164.1,Monsoon (Jun-Sep)
2015,6,June,Pabna,Rajshahi,272.83,2634.14,0.103575,135.0,Monsoon (Jun-Sep)
2015,6,June,Panchagarh,Rangpur,489.85,1548.93,0.316248,242.4,Monsoon (Jun-Sep)
2015,6,June,Patuakhali,Barisal,702.05,2730.09,0.257152,347.5,Monsoon (Jun-Sep)
2015,6,June,Pirojpur,Barisal,441.53,1365.69,0.323299,218.5,Monsoon (Jun-Sep)
2015,6,June,Rajbari,Dhaka,131.05,1249.73,0.104859,64.9,Monsoon (Jun-Sep)
2015,6,June,Rajshahi,Rajshahi,156.92,2664.72,0.058886,77.7,Monsoon (Jun-Sep)
2015,6,June,Rangamati,Chittagong,323.44,6226.79,0.051943,160.1,Monsoon (Jun-Sep)
2015,6,June,Rangpur,Rangpur,789.59,2572.65,0.306917,390.8,Monsoon (Jun-Sep)
2015,6,June,Satkhira,Khulna,1114.32,3543.74,0.314447,551.5,Monsoon (Jun-Sep)
2015,6,June,Shariatpur,Dhaka,231.7,1362.06,0.170107,114.7,Monsoon (Jun-Sep)
2015,6,June,Sherpur,Dhaka,432.57,1455.19,0.297256,214.1,Monsoon (Jun-Sep)
2015,6,June,Sirajganj,Rajshahi,467.51,2755.65,0.169654,231.4,Monsoon (Jun-Sep)
2015,6,June,Sunamganj,Sylhet,2282.7,4043.04,0.564598,1129.8,Monsoon (Jun-Sep)
2015,6,June,Sylhet,Sylhet,1206.97,3847.75,0.313682,597.4,Monsoon (Jun-Sep)
2015,6,June,Tangail,Dhaka,390.89,3707.07,0.105446,193.5,Monsoon (Jun-Sep)
2015,6,June,Thakurgaon,Rangpur,766.05,2008.93,0.381322,379.2,Monsoon (Jun-Sep)
2015,7,July,Bagerhat,Khulna,1337.97,3965.48,0.337403,662.2,Monsoon (Jun-Sep)
2015,7,July,Bandarban,Chittagong,1632.33,5000.66,0.326422,807.9,Monsoon (Jun-Sep)
2015,7,July,Barguna,Barisal,290.46,1547.28,0.187723,143.8,Monsoon (Jun-Sep)
2015,7,July,Barisal,Barisal,578.81,2767.25,0.209166,286.5,Monsoon (Jun-Sep)
2015,7,July,Bhola,Barisal,726.95,2471.69,0.294109,359.8,Monsoon (Jun-Sep)
2015,7,July,Bogra,Rajshahi,535.41,3233.63,0.165575,265.0,Monsoon (Jun-Sep)
2015,7,July,Brahamanbaria,Chittagong,631.12,2104.07,0.299952,312.4,Monsoon (Jun-Sep)
2015,7,July,Chandpur,Chittagong,340.6,1864.17,0.182706,168.6,Monsoon (Jun-Sep)
2015,7,July,Chittagong,Chittagong,1203.94,4736.75,0.254169,595.9,Monsoon (Jun-Sep)
2015,7,July,Chuadanga,Khulna,213.04,1233.0,0.172784,105.4,Monsoon (Jun-Sep)
2015,7,July,Comilla,Chittagong,594.35,3351.85,0.177321,294.2,Monsoon (Jun-Sep)
2015,7,July,Cox's Bazar,Chittagong,398.42,2206.6,0.180556,197.2,Monsoon (Jun-Sep)
2015,7,July,Dhaka,Dhaka,153.69,1611.18,0.095391,76.1,Monsoon (Jun-Sep)
2015,7,July,Dinajpur,Rangpur,1221.59,3829.09,0.319029,604.6,Monsoon (Jun-Sep)
2015,7,July,Faridpur,Dhaka,186.2,2227.54,0.083591,92.2,Monsoon (Jun-Sep)
2015,7,July,Feni,Chittagong,242.95,960.78,0.252866,120.2,Monsoon (Jun-Sep)
2015,7,July,Gaibandha,Rangpur,296.73,2410.25,0.123111,146.9,Monsoon (Jun-Sep)
2015,7,July,Gazipur,Dhaka,223.02,1940.74,0.114916,110.4,Monsoon (Jun-Sep)
2015,7,July,Gopalganj,Dhaka,353.47,1602.77,0.220535,174.9,Monsoon (Jun-Sep)
2015,7,July,Habiganj,Sylhet,793.58,2857.81,0.277687,392.8,Monsoon (Jun-Sep)
2015,7,July,Jamalpur,Dhaka,174.38,2272.36,0.076739,86.3,Monsoon (Jun-Sep)
