Month_Num,Month_Name,Area_Name,GMM_Threshold_dB
8,August,Manikganj,-13.8113
8,August,Maulvibazar,-12.8769
8,August,Meherpur,-8.0381
8,August,Munshiganj,-13.5849
8,August,Mymensingh,-9.3656
8,August,Naogaon,-12.3112
8,August,Narail,-11.4822
8,August,Narayanganj,-14.5074
8,August,Narsingdi,-13.2888
8,August,Natore,-12.5176
8,August,Nawabganj,-14.6631
8,August,Netrakona,-15.8834
8,August,Nilphamari,-8.9502
8,August,Noakhali,-12.2764
8,August,Pabna,-13.4253
8,August,Panchagarh,-8.7589
8,August,Patuakhali,-12.785
8,August,Pirojpur,-10.1579
8,August,Rajbari,-13.2186
8,August,Rajshahi,-14.5752
8,August,Rangamati,-11.8659
8,August,Rangpur,-8.3848
8,August,Satkhira,-9.9614
8,August,Shariatpur,-12.7489
8,August,Sherpur,-9.7584
8,August,Sirajganj,-15.4705
8,August,Sunamganj,-16.0
8,August,Sylhet,-13.3807
8,August,Tangail,-12.4101
8,August,Thakurgaon,-8.7145
8,August,national_mean,-11.8198
9,September,Bagerhat,-8.8916
9,September,Bandarban,-6.1793
9,September,Barguna,-13.8887
9,September,Barisal,-12.925
9,September,Bhola,-15.2783
9,September,Bogra,-12.0408
9,September,Brahamanbaria,-15.2958
9,September,Chandpur,-12.7137
9,September,Chittagong,-8.6702
9,September,Chuadanga,-8.1391
9,September,Comilla,-9.0616
9,September,Cox's Bazar,-15.6051
9,September,Dhaka,-14.5263
9,September,Dinajpur,-8.3562
9,September,Faridpur,-12.5973
9,September,Feni,-8.5584
9,September,Gaibandha,-15.4456
9,September,Gazipur,-12.0416
9,September,Gopalganj,-9.7283
9,September,Habiganj,-14.1524
9,September,Jamalpur,-14.4043
9,September,Jessore,-12.7056
9,September,Jhalokati,-10.7503
9,September,Jhenaidah,-8.9138
9,September,Joypurhat,-8.261
9,September,Khagrachhari,-7.4132
9,September,Khulna,-9.0044
9,September,Kishoreganj,-15.9395
9,September,Kurigram,-15.4436
9,September,Kushtia,-14.5671
9,September,Lakshmipur,-14.2936
9,September,Lalmonirhat,-9.8274
9,September,Madaripur,-12.6654
9,September,Magura,-12.6094
9,September,Manikganj,-14.2314
9,September,Maulvibazar,-12.86
9,September,Meherpur,-7.9796
9,September,Munshiganj,-13.5218
9,September,Mymensingh,-8.3231
9,September,Naogaon,-11.1564
9,September,Narail,-11.751
9,September,Narayanganj,-14.4223
9,September,Narsingdi,-13.7384
9,September,Natore,-13.6735
9,September,Nawabganj,-15.4388
9,September,Netrakona,-14.7084
9,September,Nilphamari,-8.6207
9,September,Noakhali,-12.4891
9,September,Pabna,-13.5304
9,September,Panchagarh,-8.6899
9,September,Patuakhali,-13.9968
9,September,Pirojpur,-10.439
9,September,Rajbari,-13.4625
9,September,Rajshahi,-14.3083
9,September,Rangamati,-12.2356
9,September,Rangpur,-7.5133
9,September,Satkhira,-10.4328
9,September,Shariatpur,-13.0237
9,September,Sherpur,-8.982
9,September,Sirajganj,-15.7437
9,September,Sunamganj,-15.8035
9,September,Sylhet,-12.9113
9,September,Tangail,-13.0434
9,September,Thakurgaon,-8.4012
9,September,national_mean,-11.9738
10,October,Bagerhat,-9.3027
10,October,Bandarban,-6.1237
10,October,Barguna,-14.5037
10,October,Barisal,-13.053
10,October,Bhola,-15.0609
10,October,Bogra,-12.5515
10,October,Brahamanbaria,-13.9783
10,October,Chandpur,-12.9418
10,October,Chittagong,-8.3687
10,October,Chuadanga,-8.1863
10,October,Comilla,-8.3578
10,October,Cox's Bazar,-12.3625
10,October,Dhaka,-14.5971
10,October,Dinajpur,-8.3187
10,October,Faridpur,-13.2778
10,October,Feni,-8.608
10,October,Gaibandha,-15.4726
10,October,Gazipur,-11.1996
10,October,Gopalganj,-10.4478
10,October,Habiganj,-13.8412
10,October,Jamalpur,-12.8895
10,October,Jessore,-11.8219
10,October,Jhalokati,-12.3123
10,October,Jhenaidah,-9.0642
10,October,Joypurhat,-8.178
10,October,Khagrachhari,-6.5453
